На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
1.62,22.924,2773.80,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.97,23.435,2765.38,113000,111890,111890,УФА,Круг Ст20 калиброванный,26мм,НД,ГОСТ 7417-75,1050-2013,Круг
28.40,239.522,14898.28,60200,60100,60000,ЛОБНЯ,Круг Ст45,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
40.51,237.944,15347.38,63200,63100,63000,ИЖЕВСК,Круг Ст45,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
9.16,116.753,7635.66,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
5.95,116.560,7576.39,63200,63100,63000,ИЖЕВСК,Круг Ст45,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
28.85,116.946,7332.55,60200,60100,60000,ЛОБНЯ,Круг Ст45,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
22.12,117.140,7813.22,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,56мм.,,ГОСТ 2590-2006,Круг,06.06
0.95,102.449,12765.15,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,56мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.70,91.936,10774.92,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,56мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.75
5.44,92.904,10683.96,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,56мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.8
2.22,76.944,14026.89,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,56 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4
2.47,114.070,14826.82,129980,129980,129980,НОВОСИБИРСК,Круг Ст35 калиброванный,58мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.81,118.218,7412.27,60200,60100,60000,ЛОБНЯ,Круг Ст45,58мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.7
7.39,133.584,9404.30,68200,68100,68000,ВОЛГОГРАД,Круг Ст09Г2С,60мм,,"ГОСТ2590,19281-2014",Круг,06.02
5.32,133.140,9053.52,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,60мм,,"ГОСТ2590,19281-2014",Круг,6
6.98,237.944,15442.55,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
1.99,103.222,12861.49,122800,122800,122800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,56мм,НД,ГОСТ 7417-75,1050-2013,Круг
9.51,118.392,7423.20,60200,60100,60000,ЛОБНЯ,Круг Ст3,56мм,(6+нд),ГОСТ 2590,Круг,06.05
0.23,117.000,7335.91,60200,60100,60000,ЛОБНЯ,Круг Ст3,56мм,3ГП,ГОСТ 2590,Круг,06.03
11.13,116.590,7869.82,65700,65600,65500,ИЖЕВСК,Круг Ст20Х,56мм.,,"ГОСТ 2590-2006, 4543-71",Круг,06.03
2.44,116.560,7623.02,63200,63100,63000,ВОЛГОГРАД,Круг Ст3,56мм,(6+нд),ГОСТ 2590,Круг,06.03
6.86,114.047,7413.05,63200,63100,63000,ИЖЕВСК,Круг Ст3,56мм,(6+нд),ГОСТ 2590,Круг,5.9
10.04,114.240,11411.46,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,56мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.91
7.97,116.753,8102.67,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,56мм.,,ГОСТ 2590-2006,Круг,06.04
6.99,116.367,7971.11,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,56мм.,,ГОСТ 2590-2006,Круг,06.02
11.48,116.946,8968.63,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,56мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
4.28,98.583,10903.28,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,56мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.1
4.86,117.357,7675.16,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
6.23,116.946,7601.52,63200,63100,63000,ИЖЕВСК,Круг Ст35,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
18.26,116.173,7284.07,60200,60100,60000,ЛОБНЯ,Круг Ст35,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.01
0.08,84.322,11297.46,133980,133980,133980,НОВОСИБИРСК,Круг Ст35 калиброванный,60мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.57,134.028,13388.02,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,60мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
5.16,130.892,9083.89,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,60мм.,,ГОСТ 2590-2006,Круг,5.82
1.54,117.660,13013.20,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,60мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.3
9.54,132.474,8663.82,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.97
3.99,133.140,8654.10,63200,63100,63000,ИЖЕВСК,Круг Ст35,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
11.14,134.249,8417.44,60200,60100,60000,ЛОБНЯ,Круг Ст35,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
4.76,237.549,15725.76,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,80мм,,ГОСТ2590-2006,Круг,06.02
12.03,133.806,9165.69,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,60мм.,,ГОСТ 2590-2006,Круг,06.03
29.18,134.471,8969.24,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,60мм.,,ГОСТ 2590-2006,Круг,06.06
18.77,134.058,8405.42,60200,60100,60000,ЛОБНЯ,Круг Ст20,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
7.28,136.397,8920.36,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.01
7.53,133.170,8656.05,63200,63100,63000,ИЖЕВСК,Круг Ст20,60мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
3.12,130.921,10433.09,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,60мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.9
1.10,130.921,10197.44,77890,77890,77890,ТЮМЕНЬ,Круг ст30ХГСА,60мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.9
1.34,135.000,9409.50,67200,67100,67000,ВЛАДИКАВКАЗ,Круг Ст3,60мм,(6+нд),ГОСТ 2590,Круг,6
5.93,137.424,8987.51,63200,63100,63000,ВОЛГОГРАД,Круг Ст3,60мм,(6+нд),ГОСТ 2590,Круг,06.03
6.76,133.806,8697.37,63200,63100,63000,ИЖЕВСК,Круг Ст3,60мм,(6+нд),ГОСТ 2590,Круг,06.03
18.01,134.028,8403.53,60200,60100,60000,ЛОБНЯ,Круг Ст3,60мм,(6+нд),ГОСТ 2590,Круг,06.04
4.78,267.240,18573.18,68200,68100,68000,ИЖЕВСК,Круг Ст20Х,85мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,6
6.70,269.022,19342.65,70200,70100,70000,ВОЛГОГРАД,Круг Ст20Х,85мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.04
0.31,199.114,12783.09,62200,62100,62000,ЛОБНЯ,Круг Ст20 3ГП,85мм,3ГП,ГОСТ 2590,Круг,4.48
8.94,93.430,6110.35,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
16.25,92.674,5977.49,62700,62600,62500,ИЖЕВСК,Круг Ст45,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.01
3.26,84.139,11753.32,137890,137890,137890,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.58,92.768,11781.56,127000,126890,126890,НОВОСИБИРСК,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.27,80.132,11186.43,137800,137800,137800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,50мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.31,83.114,10355.98,122800,122800,122800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.20,76.483,9864.80,128980,128980,128980,НОВОСИБИРСК,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.70,83.422,10394.41,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.32,81.620,9565.86,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,50мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.3
7.34,90.090,10360.35,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,50мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.85
1.51,85.250,32974.70,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,50,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.5
2.12,60.569,11041.78,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,50 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.95
10.70,268.576,17242.59,62200,62100,62000,ЛОБНЯ,Круг Ст20,85мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
0.19,100.353,6824.03,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,52мм,,"ГОСТ2590,19281-2014",Круг,06.02
25.55,93.599,5868.68,60200,60100,60000,ЛОБНЯ,Круг Ст45,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
0.65,92.983,7409.78,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,50мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.03
1.95,91.441,7122.31,77890,77890,77890,ТЮМЕНЬ,Круг ст30ХГСА,50мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,5.93
7.99,94.189,6065.75,62200,62100,62000,ВОЛГОГРАД,Круг Ст3,50мм,(6+нд),ГОСТ 2590,Круг,06.03
3.75,92.828,5848.19,61200,61100,61000,ИЖЕВСК,Круг Ст3,50мм,(6+нд),ГОСТ 2590,Круг,06.02
27.77,93.137,5746.54,59200,59100,59000,ЛОБНЯ,Круг Ст3,50мм,(6+нд),ГОСТ 2590,Круг,06.04
2.73,80.184,9990.93,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.48,93.137,9303.43,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,50мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
9.85,93.586,6401.26,66200,66100,66000,ВОЛГОГРАД,Круг Ст40Х,50мм.,,"ГОСТ 2590,4543-2016",Круг,06.03
14.60,92.828,6265.92,65700,65600,65500,ИЖЕВСК,Круг Ст40Х,50мм.,,"ГОСТ 2590,4543-2016",Круг,06.02
8.72,93.137,6119.09,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,50мм.,,"ГОСТ 2590,4543-2016",Круг,06.04
6.75,80.080,8856.85,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,50мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.2
6.41,91.286,5970.13,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.92
5.61,92.520,5967.54,62700,62600,62500,ИЖЕВСК,Круг Ст35,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6
07.04,93.137,5839.68,60200,60100,60000,ЛОБНЯ,Круг Ст35,50мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
0.63,80.955,10522.53,129980,129980,129980,НОВОСИБИРСК,Круг Ст35 калиброванный,50мм,НД,ГОСТ 7417-75,1050-2013,Круг
4.20,96.957,9036.39,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,55мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.25
1.71,107.180,9860.56,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,55мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.75
0.98,93.500,12153.13,129980,129980,129980,НОВОСИБИРСК,Круг Ст35 калиброванный,55мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.91,271.694,18882.73,68200,68100,68000,ИЖЕВСК,Круг Ст09Г2С,85мм,,"ГОСТ2590,19281-2014",Круг,6.1
3.67,97.301,11403.65,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,55мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.22
4.55,95.064,10932.36,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,55мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.1
3.19,84.150,32549.22,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,55,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.5
4.20,101.474,9447.21,93100,92990,92990,НОВОСИБИРСК,Круг СтУ8А,56мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.3
3.59,116.560,8205.82,68200,68100,68000,ВОЛГОГРАД,Круг Ст09Г2С,56мм,,"ГОСТ2590,19281-2014",Круг,06.03
8.83,115.980,7886.64,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,56мм,,"ГОСТ2590,19281-2014",Круг,6
02.01,105.017,6584.60,60200,60100,60000,ЛОБНЯ,Круг Ст35,54мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.95
1.70,80.910,10516.68,129980,129980,129980,НОВОСИБИРСК,Круг Ст35 калиброванный,54мм,НД,ГОСТ 7417-75,1050-2013,Круг
7.84,114.997,7520.82,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,54мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6.1
31.34,107.518,6741.41,60200,60100,60000,ЛОБНЯ,Круг Ст45,54мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
4.79,108.276,8304.77,74900,74900,74900,ЧЕЛЯБИНСК,Круг ст18ХГТ,56мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.6
4.55,177.480,20800.66,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,80мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.5
1.82,120.377,7872.67,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
35.21,116.560,7576.39,63200,63100,63000,ИЖЕВСК,Круг Ст20,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
12.61,116.946,7332.55,60200,60100,60000,ЛОБНЯ,Круг Ст20,56мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
2.41,155.061,28190.13,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,80 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.95
5.79,219.620,84839.21,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,80,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.56
4.65,216.920,24837.34,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,80мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.5
01.02,114.076,9090.76,77890,77890,77890,ИЖЕВСК,Круг ст18ХГТ,56мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.9
2.69,262.786,17212.48,64200,64100,64000,ИЖЕВСК,Круг Ст20,85мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,5.9
1.61,269.022,17997.55,65200,65100,65000,ВОЛГОГРАД,Круг Ст20,85мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
4.46,99.953,6536.95,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.89
10.32,100.353,6292.16,60200,60100,60000,ЛОБНЯ,Круг Ст35,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
12.00,267.240,20628.26,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,85мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
7.27,100.526,6976.51,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,52мм.,,"ГОСТ 2590,4543-2016",Круг,06.03
8.45,96.686,7415.82,74900,74900,74900,ЧЕЛЯБИНСК,Круг ст18ХГТ,52мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.8
4.88,100.520,6574.01,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
5.25,100.520,6533.81,63200,63100,63000,ИЖЕВСК,Круг Ст20,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
2.91,100.687,6313.06,60200,60100,60000,ЛОБНЯ,Круг Ст45,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
4.73,100.026,6851.78,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,52мм.,,"ГОСТ 2590,4543-2016",Круг,6
9.59,100.193,6682.85,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,52мм.,,"ГОСТ 2590,4543-2016",Круг,06.01
16.00,262.786,21598.38,80890,80890,80890,ИЖЕВСК,Круг ст18ХГТ,85мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.9
6.19,100.353,6563.11,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
32.84,100.353,6522.97,63200,63100,63000,ИЖЕВСК,Круг Ст45,52мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
5.84,181.864,11802.99,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
30.52,182.166,11749.73,63200,63100,63000,ИЖЕВСК,Круг Ст45,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
33.30,181.864,11311.95,60200,60100,60000,ЛОБНЯ,Круг Ст45,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
1.90,236.760,16383.79,67200,67100,67000,ВЛАДИКАВКАЗ,Круг Ст3,80мм,,ГОСТ 2590,Круг,6
5.41,169.120,65331.06,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,70,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.6
3.83,121.727,22190.80,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,70 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,04.05
08.09,209.120,14115.63,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,75мм,,"ГОСТ2590,19281-2014",Круг,06.03
08.09,237.549,15915.80,65700,65600,65500,ИЖЕВСК,Круг Ст20Х,80мм.,,"ГОСТ 2590-2006, 4543-71",Круг,06.02
6.61,209.120,16560.24,77890,77890,77890,ИЖЕВСК,Круг ст18ХГТ,75мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.03
3.80,156.988,18398.99,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,70мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.2
6.75,167.554,19184.99,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,70мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.55
04.03,234.392,14579.21,60200,60100,60000,ЛОБНЯ,Круг Ст3,80мм,,ГОСТ 2590,Круг,5.94
06.05,182.770,14473.60,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,70мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
01.08,181.260,14118.34,77890,77890,77890,ТЮМЕНЬ,Круг ст30ХГСА,70мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
4.12,183.222,11891.11,63200,63100,63000,ВОЛГОГРАД,Круг Ст3,70мм,,ГОСТ 2590,Круг,6
4.21,181.260,11691.27,63200,63100,63000,ИЖЕВСК,Круг Ст3,70мм,,ГОСТ 2590,Круг,6
7.48,182.166,11330.74,60200,60100,60000,ЛОБНЯ,Круг Ст3,70мм,,ГОСТ 2590,Круг,06.03
6.42,237.549,15321.92,63200,63100,63000,ИЖЕВСК,Круг Ст3,80мм,,ГОСТ 2590,Круг,06.02
5.14,241.200,15653.88,63200,63100,63000,ВОЛГОГРАД,Круг Ст3,80мм,,ГОСТ 2590,Круг,06.03
5.16,182.209,17198.68,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,70мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.04
7.14,183.676,12655.30,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,70мм,,ГОСТ2590-2006,Круг,06.04
16.94,181.864,12366.77,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,70мм,,ГОСТ2590-2006,Круг,06.02
58.82,183.073,12119.41,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,70мм,,ГОСТ2590-2006,Круг,06.06
14.14,181.260,13810.20,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,70мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
3.87,167.610,18453.86,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,70мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.55
0.53,182.468,11842.20,63200,63100,63000,ВОЛГОГРАД,Круг Ст35,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
2.76,182.166,11749.73,63200,63100,63000,ИЖЕВСК,Круг Ст35,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
19.83,183.073,11387.12,60200,60100,60000,ЛОБНЯ,Круг Ст35,70мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.06
12.49,239.250,15431.65,63200,63100,63000,ИЖЕВСК,Круг Ст20,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
1.55,235.141,15260.66,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.88
9.61,243.998,18592.64,74900,74900,74900,ЧЕЛЯБИНСК,Круг ст18ХГТ,80мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.03
8.17,209.120,13571.91,63200,63100,63000,ВОЛГОГРАД,Круг Ст45,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
29.72,209.120,13488.27,63200,63100,63000,ИЖЕВСК,Круг Ст45,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
23.44,210.508,13093.57,60200,60100,60000,ЛОБНЯ,Круг Ст45,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.07
10.84,239.128,14873.74,60200,60100,60000,ЛОБНЯ,Круг Ст20,80мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.06
2.57,183.698,21033.42,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,75мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,5.3
2.77,176.970,68363.51,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,75,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.1
3.82,138.012,25159.59,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,75 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,4
2.53,222.300,20718.36,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,80мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.7
5.83,231.848,21214.13,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,80мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.88
6.19,236.760,15981.30,66200,66100,66000,ИЖЕВСК,Круг Ст09Г2С,80мм,,"ГОСТ2590,19281-2014",Круг,6
4.62,237.549,18811.52,77890,77890,77890,ИЖЕВСК,Круг ст18ХГТ,80мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.02
4.11,169.487,19863.92,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,75мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.89
4.73,209.120,14011.07,65700,65600,65500,ИЖЕВСК,Круг Ст20Х,75мм.,,"ГОСТ 2590-2006, 4543-71",Круг,06.03
10.41,208.774,12985.72,60200,60100,60000,ЛОБНЯ,Круг Ст3,75мм,,ГОСТ 2590-2006,Круг,06.02
9.85,208.080,16271.86,76900,76900,76900,ЧЕЛЯБИНСК,Круг ст18ХГТ,75мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
2.26,209.120,13571.91,63200,63100,63000,ВОЛГОГРАД,Круг Ст20,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
13.19,209.120,13488.27,63200,63100,63000,ИЖЕВСК,Круг Ст20,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
6.84,208.774,12985.72,60200,60100,60000,ЛОБНЯ,Круг Ст20,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
9.76,211.548,13158.29,60200,60100,60000,ЛОБНЯ,Круг Ст35,75мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,6.1
6.00,209.832,19806.05,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,75мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.05
5.27,203.918,14049.98,67200,67100,67000,ВОЛГОГРАД,Круг Ст40Х,75мм,,ГОСТ2590-2006,Круг,5.88
28.89,209.120,14220.19,66700,66600,66500,ИЖЕВСК,Круг Ст40Х,75мм,,ГОСТ2590-2006,Круг,06.03
07.03,209.467,13866.73,64200,64100,64000,ЛОБНЯ,Круг Ст40Х,75мм,,ГОСТ2590-2006,Круг,06.04
30.71,209.120,16560.24,77890,77890,77890,ИЖЕВСК,Круг ст30ХГСА,75мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.03
2.47,208.080,15853.62,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,75мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
5.66,194.320,21394.63,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,75мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.6
